CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,2,458,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,3,459,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,4,460,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,5,461,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,6,462,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,7,463,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,8,464,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,9,465,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,10,466,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,11,467,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,1,469,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,2,470,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,3,471,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,4,472,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,5,473,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,6,474,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,7,475,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,8,476,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,9,477,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,10,478,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,3,11,479,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,0,480,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,1,481,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,2,482,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,3,483,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,4,484,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,5,485,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,6,486,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,7,487,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,8,488,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,9,489,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,10,490,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,4,3,11,491,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,1,493,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,2,494,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,3,495,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,4,496,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,5,497,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,6,498,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,7,499,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,8,500,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,9,501,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,10,502,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,5,3,11,503,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,3,0,504,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,3,1,505,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,3,2,506,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,3,3,507,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,3,4,508,PASS
