RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F17_P04_B,2,2,1.3719070099668369,115.36490323123273,0.82399999999999995,0.016896000000000012,false,PASS,F17,baseline,dl_rank,2,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,1,-3.9456877123990655,216.3101139641353,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,2,-4.0956877123990658,216.41011396413529,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,3,-4.2456877123990653,216.51011396413529,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,4,-4.3956877123990656,216.61011396413531,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,5,-4.5456877123990651,216.7101139641353,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,6,-4.6956877123990655,216.8101139641353,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,7,-4.8456877123990658,216.91011396413529,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_T,8,8,-4.9956877123990653,217.01011396413529,0.99199999999999999,0.0030720000000000001,false,PASS,F17,treatment,dl_rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P05_B,2,1,3.3660369672478194,95.441543134087397,0.69999999999999996,0.028800000000000023,false,PASS,F17,baseline,dl_rank,2,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
