Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,8,8,41,41,2,168,2,5,0,0,32,0.30784766232145,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,41,41,3,189,2,3,0,1,32,0.0015751289889181,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,42,42,1,147,2,11,0,0,32,0.406101772046455,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,42,42,2,168,1,20,0,0,32,1.85029811818291,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,42,42,3,189,2,3,0,0,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,7,7,43,43,1,147,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,43,43,2,168,2,17,0,0,32,0.855864283046571,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,1,"aligned","misaligned"
"DL",12,9,9,43,43,3,189,2,15,0,0,32,1.83480475025695,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,1,"misaligned","misaligned"
"DL",12,7,7,44,44,1,147,1,32,0,1,32,0.00138842067721612,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,44,44,2,168,2,12,0,0,32,0.381239973050413,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,44,44,3,189,2,5,0,0,32,0.111460388691754,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,45,45,1,147,1,26,0,0,32,0.647602163630097,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,45,45,2,168,2,4,0,0,32,0.149399199923351,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,45,45,3,189,2,3,0,1,32,0.0411654608327297,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,46,46,1,147,2,6,0,0,32,0.225421891042927,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,2,"uninitialized","misaligned"
"DL",12,8,8,46,46,2,168,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_REFINEMENT_CONVERGED",0,0,1,0,0,0,NaN,NaN,2,"misaligned","aligned"
"DL",12,9,9,46,46,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH",0,1,0,0,0,0,42,0.021,2,"aligned","aligned"
"DL",12,7,7,47,47,1,147,2,7,0,0,32,0.270469238751375,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,47,47,2,168,2,15,0,0,32,5.44167063238206,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED|BEAM_FAILURE",0,0,0,0,1,1,NaN,NaN,NaN,"misaligned","failed_alignment"
