route,page,kind,section_slug,artifact
/reports/ssb-pbch-pss-sss/charts/ssb-index-timeline,reports,reports,ssb-pbch-pss-sss,SSB index timeline
/reports/ssb-pbch-pss-sss/charts/pbch-stage-latency,reports,reports,ssb-pbch-pss-sss,PBCH stage latency
/reports/ssb-pbch-pss-sss/charts/ssb-pbch-occupancy-map,reports,reports,ssb-pbch-pss-sss,SSB/PBCH occupancy map
/reports/ssb-pbch-pss-sss/charts/sync-success-failure-timeline-if-available,reports,reports,ssb-pbch-pss-sss,sync success/failure timeline if available
/reports/csi-rs/charts/csi-rs-resource-occupancy,reports,reports,csi-rs,CSI-RS resource occupancy
/reports/csi-rs/charts/port-usage-chart,reports,reports,csi-rs,port usage chart
/reports/csi-rs/charts/csi-rs-latency-trend,reports,reports,csi-rs,CSI-RS latency trend
/reports/pdsch-dl-data-chain/charts/tb-size-over-time,reports,reports,pdsch-dl-data-chain,TB size over time
/reports/pdsch-dl-data-chain/charts/mcs-code-rate-timeline,reports,reports,pdsch-dl-data-chain,MCS/code-rate timeline
/reports/pdsch-dl-data-chain/charts/code-block-count-histogram,reports,reports,pdsch-dl-data-chain,code-block count histogram
/reports/pdsch-dl-data-chain/charts/ldpc-stage-latency-waterfall,reports,reports,pdsch-dl-data-chain,LDPC stage latency waterfall
/reports/pdsch-dl-data-chain/charts/dmrs-ptrs-occupancy-plot,reports,reports,pdsch-dl-data-chain,DMRS/PTRS occupancy plot
/reports/pdsch-dl-data-chain/charts/precoder-beam-selection-timeline,reports,reports,pdsch-dl-data-chain,precoder / beam selection timeline
/reports/pdsch-dl-data-chain/charts/dl-resource-grid-heatmap,reports,reports,pdsch-dl-data-chain,DL resource-grid heatmap
/reports/pusch-ul-data-chain/charts/channel-estimation-latency,reports,reports,pusch-ul-data-chain,channel estimation latency
/reports/pusch-ul-data-chain/charts/equalizer-latency,reports,reports,pusch-ul-data-chain,equalizer latency
/reports/pusch-ul-data-chain/charts/decoder-iteration-histogram,reports,reports,pusch-ul-data-chain,decoder iteration histogram
/reports/pusch-ul-data-chain/charts/ta-estimate-timeline,reports,reports,pusch-ul-data-chain,TA estimate timeline
/reports/pusch-ul-data-chain/charts/llr-statistics-over-time,reports,reports,pusch-ul-data-chain,LLR statistics over time
/reports/pusch-ul-data-chain/charts/ul-resource-grid-equalized-symbol-summaries,reports,reports,pusch-ul-data-chain,UL resource-grid / equalized symbol summaries
/reports/pucch-f0-f1-f2-f3-f4/charts/requested-vs-resolved-format-confusion-matrix,reports,reports,pucch-f0-f1-f2-f3-f4,requested vs resolved format confusion matrix
/reports/pucch-f0-f1-f2-f3-f4/charts/pucch-decode-success-failure-trend,reports,reports,pucch-f0-f1-f2-f3-f4,PUCCH decode success/failure trend
/reports/pucch-f0-f1-f2-f3-f4/charts/ack-nack-match-chart,reports,reports,pucch-f0-f1-f2-f3-f4,ACK/NACK match chart
/reports/pucch-f0-f1-f2-f3-f4/charts/dtx-detection-chart,reports,reports,pucch-f0-f1-f2-f3-f4,DTX detection chart
