RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0153,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0154,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0155,4,15,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0156,1,15,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0157,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0158,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0159,4,21,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0160,1,21,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0161,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0162,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0163,4,0,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0164,1,0,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0165,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0166,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0167,4,6,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0168,1,6,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0169,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0170,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0171,4,12,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0172,1,12,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0173,2,15,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0174,3,15,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0175,4,18,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0176,1,18,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0177,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0178,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0179,4,24,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0180,1,24,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0181,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0182,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0183,4,3,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0184,1,3,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0185,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0186,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0187,4,9,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0188,1,9,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0189,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0190,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0191,4,15,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0192,1,15,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0193,2,18,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0194,3,18,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0195,4,21,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0196,1,21,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0197,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0198,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0199,4,0,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0200,1,0,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0201,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0202,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0203,4,6,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0204,1,6,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0205,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0206,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0207,4,12,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0208,1,12,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0209,2,15,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0210,3,15,false,true,false,3,false,PASS
