RunID,ExperimentID,OperatingPointID,G,GULSCH,GACK,GCSI1,GCSI2,GCGUCI,GUTOUCI,UCIOverheadFraction,EffectiveULSCHCodeRate,ACKBLER,CSI1BLER,CSI2BLER,ULSCHBLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F15-E005,R6_cw0_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E006,R6_cw1_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E007,R7_equal,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E008,R7_cw0_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E009,R7_cw1_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E010,R8_equal,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E011,R8_cw0_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F15-E012,R8_cw1_high,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E001,codebook_R1,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E002,codebook_R2,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E003,codebook_R4,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E004,codebook_R8,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E005,noncodebook_R1,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E006,noncodebook_R2,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E007,noncodebook_R4,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F16-E008,noncodebook_R8,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E001,D0_A0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E002,D0_A1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E003,D0_A2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E004,D0_A3,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E005,D100_A0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E006,D100_A1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E007,D100_A2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E008,D100_A3,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E009,D300_A0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E010,D300_A1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E011,D300_A2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E012,D300_A3,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E013,D800_A0,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E014,D800_A1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F17-E015,D800_A2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
