FamilyID,ExperimentID,Variant,PreambleFormat,RestrictedSet,ZCZ,Msg1FDM,RODensity,DetectionProbability,FalseAlarmProbability,TimingRMSE_samples,CollisionProbability,Status
F20,F20-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F20,F20-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F21,F21-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F22,F22-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P02-T,treatment,1,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P03-T,treatment,2,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F23,F23-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P02-T,treatment,A1,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F24,F24-P06-T,treatment,A1,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F25,F25-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F25,F25-P01-T,treatment,0,RestrictedSetTypeA,0,1,1,1,0,1.1823599523247,0,PASS
F25,F25-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F25,F25-P02-T,treatment,0,RestrictedSetTypeA,0,1,1,1,0,1.1823599523247,0,PASS
F25,F25-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F25,F25-P03-T,treatment,0,RestrictedSetTypeA,0,1,1,1,0,1.1823599523247,0,PASS
F25,F25-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F25,F25-P04-T,treatment,0,RestrictedSetTypeA,0,1,1,1,0,1.1823599523247,0,PASS
F25,F25-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
